time	V(n003)	V(n008)
2.279721086191622e-006	2.258326e+000	1.952274e-001
2.308622058407733e-006	2.713641e+000	4.523161e-001
2.330980349123102e-006	3.098656e+000	6.587905e-001
2.342729996673149e-006	3.308181e+000	7.554567e-001
2.352713428160902e-006	3.481518e+000	8.154750e-001
2.363953983643835e-006	3.669897e+000	8.599817e-001
2.376690735817616e-006	3.882428e+000	8.916451e-001
2.399491875949844e-006	4.273494e+000	9.271547e-001
2.420445972178831e-006	4.655720e+000	9.496480e-001
2.452518102231266e-006	5.298789e+000	9.760726e-001
2.503263302502251e-006	6.432831e+000	1.012364e+000
2.558985199088704e-006	7.840775e+000	1.045068e+000
2.653672554139147e-006	1.050446e+001	1.082379e+000
2.755277623469471e-006	1.352219e+001	1.093066e+000
2.881507344575790e-006	1.715001e+001	1.058779e+000
3.015358304686577e-006	2.040819e+001	9.703785e-001
3.134806880262381e-006	2.252095e+001	8.519777e-001
3.207250803355377e-006	2.325243e+001	7.603973e-001
3.275581304772179e-006	2.349913e+001	6.552206e-001
3.310473922667895e-006	2.345147e+001	5.832379e-001
3.339351028457810e-006	2.328071e+001	4.910504e-001
3.373358410971999e-006	2.293659e+001	3.231266e-001
3.409899800049798e-006	2.241082e+001	6.767954e-002
3.442095600384582e-006	2.181257e+001	-2.233220e-001
3.474128677512928e-006	2.111627e+001	-5.544845e-001
3.488147253451895e-006	2.079553e+001	-6.881466e-001
3.498997502713458e-006	2.055547e+001	-7.617387e-001
3.505797290428991e-006	2.041409e+001	-7.894180e-001
3.512751195946379e-006	2.027355e+001	-8.078837e-001
3.519150467142657e-006	2.014444e+001	-8.209521e-001
3.525673304496241e-006	2.001224e+001	-8.314151e-001
3.532805250647947e-006	1.986600e+001	-8.407842e-001
3.543351539046086e-006	1.964583e+001	-8.524925e-001
3.555029471365157e-006	1.939660e+001	-8.638079e-001
3.565929775326687e-006	1.915806e+001	-8.733214e-001
3.577703509480973e-006	1.889378e+001	-8.828535e-001
3.589833697293515e-006	1.861464e+001	-8.920976e-001
3.603077500476115e-006	1.830191e+001	-9.015976e-001
3.619702667628788e-006	1.789808e+001	-9.126766e-001
3.643266283232666e-006	1.730572e+001	-9.266892e-001
3.684036828047882e-006	1.624090e+001	-9.466603e-001
3.738974872460193e-006	1.475744e+001	-9.656692e-001
3.803062993038009e-006	1.300022e+001	-9.758658e-001
3.881488043009501e-006	1.089254e+001	-9.713592e-001
3.969362815967742e-006	8.692454e+000	-9.466776e-001
4.059948049382756e-006	6.696846e+000	-9.030504e-001
4.137785452686810e-006	5.291913e+000	-8.529367e-001
4.224502426288662e-006	4.078424e+000	-7.872828e-001
4.281099288148960e-006	3.485793e+000	-7.402874e-001
4.320487784894439e-006	3.181887e+000	-7.054394e-001
4.342088229924296e-006	3.052419e+000	-6.855260e-001
4.353987014083655e-006	2.993366e+000	-6.742646e-001
4.359749776104704e-006	2.967968e+000	-6.687186e-001
